ibsi_name,ibsi_code,pyradiomics_feature,idx,required_settings
img_dim_x_init_img,,diagnostics_Image-original_Size,0,
img_dim_y_init_img,,diagnostics_Image-original_Size,1,
img_dim_z_init_img,,diagnostics_Image-original_Size,2,
vox_dim_x_init_img,,diagnostics_Image-original_Spacing,0,
vox_dim_y_init_img,,diagnostics_Image-original_Spacing,1,
vox_dim_z_init_img,,diagnostics_Image-original_Spacing,2,
mean_int_init_img,,diagnostics_Image-original_Mean,,
min_int_init_img,,diagnostics_Image-original_Minimum,,
max_int_init_img,,diagnostics_Image-original_Maximum,,
img_dim_x_interp_img,,diagnostics_Image-interpolated_Size,0,
img_dim_y_interp_img,,diagnostics_Image-interpolated_Size,1,
img_dim_z_interp_img,,diagnostics_Image-interpolated_Size,2,
vox_dim_x_interp_img,,diagnostics_Image-interpolated_Spacing,0,
vox_dim_y_interp_img,,diagnostics_Image-interpolated_Spacing,1,
vox_dim_z_interp_img,,diagnostics_Image-interpolated_Spacing,2,
mean_int_interp_img,,diagnostics_Image-interpolated_Mean,,
min_int_interp_img,,diagnostics_Image-interpolated_Minimum,,
max_int_interp_img,,diagnostics_Image-interpolated_Maximum,,
int_mask_dim_x_init_roi,,diagnostics_Mask-original_Size,0,
int_mask_dim_y_init_roi,,diagnostics_Mask-original_Size,1,
int_mask_dim_z_init_roi,,diagnostics_Mask-original_Size,2,
int_mask_bb_dim_x_init_roi,,diagnostics_Mask-original_BoundingBox,3,
int_mask_bb_dim_y_init_roi,,diagnostics_Mask-original_BoundingBox,4,
int_mask_bb_dim_z_init_roi,,diagnostics_Mask-original_BoundingBox,5,
morph_mask_bb_dim_x_init_roi,,diagnostics_Mask-original_BoundingBox,3,
morph_mask_bb_dim_y_init_roi,,diagnostics_Mask-original_BoundingBox,4,
morph_mask_bb_dim_z_init_roi,,diagnostics_Mask-original_BoundingBox,5,
int_mask_vox_count_init_roi,,diagnostics_Mask-original_VoxelNum,,
morph_mask_vox_count_init_roi,,diagnostics_Mask-original_VoxelNum,,
int_mask_mean_int_init_roi,,diagnostics_Mask-original_Mean,,
int_mask_min_int_init_roi,,diagnostics_Mask-original_Minimum,,
int_mask_max_int_init_roi,,diagnostics_Mask-original_Maximum,,
int_mask_dim_x_interp_roi,,diagnostics_Mask-interpolated_Size,0,
int_mask_dim_y_interp_roi,,diagnostics_Mask-interpolated_Size,1,
int_mask_dim_z_interp_roi,,diagnostics_Mask-interpolated_Size,2,
int_mask_bb_dim_x_interp_roi,,diagnostics_Mask-interpolated_BoundingBox,3,
int_mask_bb_dim_y_interp_roi,,diagnostics_Mask-interpolated_BoundingBox,4,
int_mask_bb_dim_z_interp_roi,,diagnostics_Mask-interpolated_BoundingBox,5,
morph_mask_bb_dim_x_interp_roi,,diagnostics_Mask-interpolated_BoundingBox,3,
morph_mask_bb_dim_y_interp_roi,,diagnostics_Mask-interpolated_BoundingBox,4,
morph_mask_bb_dim_z_interp_roi,,diagnostics_Mask-interpolated_BoundingBox,5,
int_mask_vox_count_interp_roi,,diagnostics_Mask-interpolated_VoxelNum,,
morph_mask_vox_count_interp_roi,,diagnostics_Mask-interpolated_VoxelNum,,
int_mask_mean_int_interp_roi,,diagnostics_Mask-interpolated_Mean,,
int_mask_min_int_interp_roi,,diagnostics_Mask-interpolated_Minimum,,
int_mask_max_int_interp_roi,,diagnostics_Mask-interpolated_Maximum,,
int_mask_dim_x_reseg_roi,,diagnostics_Mask-resegmented_Size,0,
int_mask_dim_y_reseg_roi,,diagnostics_Mask-resegmented_Size,1,
int_mask_dim_z_reseg_roi,,diagnostics_Mask-resegmented_Size,2,
int_mask_bb_dim_x_reseg_roi,,diagnostics_Mask-resegmented_BoundingBox,3,
int_mask_bb_dim_y_reseg_roi,,diagnostics_Mask-resegmented_BoundingBox,4,
int_mask_bb_dim_z_reseg_roi,,diagnostics_Mask-resegmented_BoundingBox,5,
morph_mask_bb_dim_x_reseg_roi,,diagnostics_Mask-resegmented_BoundingBox,3,
morph_mask_bb_dim_y_reseg_roi,,diagnostics_Mask-resegmented_BoundingBox,4,
morph_mask_bb_dim_z_reseg_roi,,diagnostics_Mask-resegmented_BoundingBox,5,
int_mask_vox_count_reseg_roi,,diagnostics_Mask-resegmented_VoxelNum,,
morph_mask_vox_count_reseg_roi,,diagnostics_Mask-interpolated_VoxelNum,,
int_mask_mean_int_reseg_roi,,diagnostics_Mask-resegmented_Mean,,
int_mask_min_int_reseg_roi,,diagnostics_Mask-resegmented_Minimum,,
int_mask_max_int_reseg_roi,,diagnostics_Mask-resegmented_Maximum,,
morph_volume,,original_shape_MeshVolume,,
morph_vol_approx,,original_shape_VoxelVolume,,
morph_area_mesh,,original_shape_SurfaceArea,,
morph_av,,original_shape_SurfaceVolumeRatio,,
morph_comp_1,,original_shape_Compactness1,,
morph_comp_2,,original_shape_Compactness2,,
morph_sph_dispr,,original_shape_SphericalDisproportion,,
morph_sphericity,,original_shape_Sphericity,,
morph_diam,,original_shape_Maximum3DDiameter,,
morph_pca_maj_axis,,original_shape_MajorAxisLength,,
morph_pca_min_axis,,original_shape_MinorAxisLength,,
morph_pca_least_axis,,original_shape_LeastAxisLength,,
morph_pca_elongation,,original_shape_Elongation,,
morph_pca_flatness,,original_shape_Flatness,,
stat_mean,,original_firstorder_Mean,,
stat_var,,original_firstorder_Variance,,
stat_skew,,original_firstorder_Skewness,,
stat_kurt,,original_firstorder_Kurtosis,,
stat_median,,original_firstorder_Median,,
stat_min,,original_firstorder_Minimum,,
stat_p10,,original_firstorder_10Percentile,,
stat_p90,,original_firstorder_90Percentile,,
stat_max,,original_firstorder_Maximum,,
stat_iqr,,original_firstorder_InterquartileRange,,
stat_range,,original_firstorder_Range,,
stat_mad,,original_firstorder_MeanAbsoluteDeviation,,
stat_rmad,,original_firstorder_RobustMeanAbsoluteDeviation,,
stat_energy,,original_firstorder_Energy,,
stat_rms,,original_firstorder_RootMeanSquared,,
ih_entropy,,original_firstorder_Entropy,,
